Id,SalePrice
1461,124596.69
1462,159623.94
1463,188118.31
1464,192479.72
1465,182055.95
1466,174312.9
1467,177315.31
1468,164645.6
1469,189807.94
1470,124541.2
1471,190279.34
1472,92096.76
1473,98199.47
1474,149353.05
1475,129726.51
1476,391927.12
1477,249804.33
1478,282713.2
1479,266275.25
1480,502070.22
1481,331288.75
1482,209682.61
1483,169740.88
1484,164768.9
1485,171599.62
1486,191848.56
1487,362000.7
1488,238697.95
1489,210609.5
1490,216419.56
1491,190603.55
1492,92277.25
1493,180075.69
1494,309013.3
1495,296295.06
1496,243037.52
1497,183996.9
1498,160431.28
1499,157589.97
1500,151539.89
1501,178072.47
1502,141520.19
1503,309392.53
1504,243397.05
1505,231132.77
1506,190856.75
1507,259994.11
1508,204172.16
1509,170638.25
1510,145813.14
1511,145723.06
1512,164238.48
1513,144143.08
1514,163629.06
1515,203591.17
1516,158067.56
1517,162763.11
1518,133844.62
1519,213698.58
1520,134304.94
1521,136626.72
1522,175671.69
1523,114946.55
1524,123361.71
1525,132897.3
1526,117556.13
1527,100390.74
1528,132556.05
1529,151270.31
1530,170758.4
1531,98685.31
1532,99339.21
1533,144038.1
1534,122013.24
1535,151584.27
1536,109628.55
1537,76894.54
1538,152908.0
1539,193655.17
1540,82587.19
1541,139091.52
1542,139802.47
1543,229876.45
1544,75910.52
1545,106160.19
1546,130629.31
1547,136522.25
1548,142948.39
1549,116006.86
1550,144496.81
1551,113120.32
1552,140353.12
1553,152471.72
1554,119056.83
1555,165907.34
1556,86076.2
1557,108145.164
1558,96806.08
1559,71768.05
1560,130282.945
1561,137927.25
1562,126962.7
1563,120291.26
1564,147356.75
1565,145008.27
1566,235282.28
1567,72932.12
1568,228623.92
1569,135056.97
1570,134620.02
1571,120469.31
1572,148048.38
1573,242447.89
1574,112409.9
1575,223163.03
1576,237234.84
1577,197543.64
1578,150057.33
1579,145922.9
1580,195393.8
1581,152036.84
1582,127474.09
1583,325694.75
1584,227858.16
1585,141110.62
1586,70592.33
1587,98759.97
1588,153255.02
1589,104746.21
1590,134769.28
1591,96564.22
1592,117751.71
1593,137243.23
1594,118886.18
1595,111256.77
1596,240361.17
1597,184674.1
1598,207697.95
1599,183813.98
1600,176547.23
1601,59018.566
1602,108590.805
1603,75812.85
1604,261327.28
1605,244766.0
1606,168585.61
1607,170976.27
1608,212684.84
1609,194204.84
1610,148696.3
1611,136628.14
1612,164789.17
1613,160561.08
1614,120481.5
1615,83939.3
1616,72352.54
1617,92016.34
1618,122455.055
1619,135027.61
1620,161074.1
1621,137430.0
1622,144069.28
1623,278926.94
1624,205855.34
1625,127326.59
1626,162701.34
1627,191315.25
1628,273202.7
1629,181570.45
1630,369564.28
1631,219871.72
1632,240356.36
1633,164477.83
1634,185713.11
1635,181717.02
1636,156055.66
1637,202490.73
1638,194459.11
1639,183171.77
1640,255671.23
1641,184637.28
1642,226211.97
1643,234430.72
1644,224112.34
1645,190828.34
1646,159978.58
1647,158502.47
1648,132390.55
1649,136419.05
1650,114424.41
1651,121418.34
1652,96029.09
1653,92200.9
1654,154036.89
1655,145020.86
1656,143182.38
1657,154370.88
1658,141744.67
1659,129252.42
1660,150898.72
1661,438324.03
1662,417119.6
1663,405892.47
1664,222931.39
1665,306844.6
1666,332786.88
1667,325596.28
1668,323627.72
1669,296114.56
1670,353126.28
1671,249906.56
1672,462006.72
1673,293493.44
1674,253751.75
1675,187926.1
1676,184587.1
1677,225416.03
1678,478219.16
1679,379410.78
1680,352072.4
1681,254039.16
1682,317426.6
1683,168307.69
1684,168984.0
1685,176129.33
1686,168522.44
1687,162670.78
1688,187284.31
1689,193551.4
1690,194179.47
1691,180116.9
1692,274998.8
1693,158578.22
1694,186622.67
1695,164514.69
1696,293361.06
1697,170109.55
1698,366878.25
1699,335494.84
1700,247816.61
1701,266228.78
1702,249009.42
1703,251093.16
1704,290183.97
1705,234272.48
1706,404846.34
1707,226425.44
1708,207082.66
1709,293540.16
1710,221456.14
1711,255092.06
1712,286584.2
1713,279172.56
1714,225853.5
1715,211340.28
1716,192377.33
